loc_state,0.0,1.0
AK,0.4475920679886686,0.5524079320113314
AL,0.5811965811965812,0.4188034188034188
AR,0.595703125,0.404296875
AZ,0.5386586928662964,0.4613413071337035
CA,0.4101480817650322,0.5898519182349677
CO,0.4659244264507422,0.5340755735492577
CT,0.45306859205776173,0.5469314079422383
DC,0.4335347432024169,0.5664652567975831
DE,0.5283687943262412,0.4716312056737589
FL,0.6305013703046913,0.3694986296953087
GA,0.5853293413173652,0.41467065868263475
HI,0.5306479859894921,0.46935201401050786
IA,0.49395770392749244,0.5060422960725075
ID,0.5136876006441223,0.4863123993558776
IL,0.4290484140233723,0.5709515859766278
IN,0.5637942551770208,0.4362057448229793
KS,0.5858085808580858,0.4141914191419142
KY,0.5455508474576272,0.4544491525423729
LA,0.4854111405835544,0.5145888594164456
MA,0.32891022021456806,0.6710897797854319
MD,0.4904171364148816,0.5095828635851184
ME,0.411214953271028,0.5887850467289719
MI,0.4866735894773278,0.5133264105226722
MN,0.37624190064794816,0.6237580993520518
MO,0.5033907146583203,0.4966092853416797
MS,0.592375366568915,0.40762463343108507
MT,0.4074074074074074,0.5925925925925926
NC,0.5271398747390397,0.47286012526096033
ND,0.5359477124183006,0.46405228758169936
NE,0.559610705596107,0.44038929440389296
NH,0.4646271510516252,0.5353728489483748
NJ,0.5271009448035803,0.47289905519641967
NM,0.4701195219123506,0.5298804780876494
NV,0.5002953337271117,0.49970466627288834
NY,0.34673504273504274,0.6532649572649573
OH,0.5301059001512859,0.46989409984871405
OK,0.5477031802120141,0.45229681978798586
OR,0.36813880126182963,0.6318611987381704
PA,0.43843843843843844,0.5615615615615616
RI,0.38865546218487396,0.6113445378151261
SC,0.5441767068273092,0.45582329317269077
SD,0.6176470588235294,0.38235294117647056
TN,0.40552268244575934,0.5944773175542406
TX,0.511681296421337,0.4883187035786631
UT,0.4522167487684729,0.547783251231527
VA,0.5148555148555148,0.48514448514448516
VT,0.2643253234750462,0.7356746765249538
WA,0.3782545805207329,0.6217454194792671
WI,0.46683199008059517,0.5331680099194048
WV,0.5514950166112956,0.4485049833887043
WY,0.46405228758169936,0.5359477124183006
